Date,region_name,RR,ALTI,PMERM,INST,GLOT,DHUMI40,NEIGETOTX,NEIG,BROU,ORAG,GRESIL,GRELE,ROSEE,VERGLAS,SOLNEIGE,GELEE,FUMEE,BRUME,ECLAIR,TX,TNSOL,FXY,DRR,year,region_key,population,density,superf,Consumption,Workday?,day_of_week,Consumption_per_capita,y_pred_rf
2014-01-01,Auvergne-Rhône-Alpes,3.802636534839925,812.242700729927,1013.8733333333332,199.7333333333333,454.5,4.0234375,14.156626506024097,0.5757575757575758,0.3333333333333333,0.0,0.0,0.0,0.125,0.0,0.0,0.0769230769230769,0.0,0.0,0.0,8.17449494949495,1.223529411764706,8.134177215189874,172.6153846153846,2014,auvergne-rhone-alpes,7820966.0,110.4725741488523,70795.5441453,367972000.0,0,2,47.04943097821931,47.85626938650259
2014-01-01,Bourgogne-Franche-Comté,8.253097345132744,391.1666666666667,1011.83,227.11111111111111,455.44444444444446,0.0,1.2624113475177303,0.0769230769230769,0.1818181818181818,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.2,0.0,10.54375,0.5349999999999999,8.045238095238094,354.625,2014,bourgogne-franche-comte,2820623.0,58.7855021709152,47981.60933965,113392000.0,0,2,40.20104778270616,41.31855875700322
2014-01-01,Bretagne,27.764367816091955,93.0561797752809,994.46875,4.473684210526316,68.36363636363636,0.0,0.0,0.0,0.0,0.4090909090909091,0.0,0.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.25,0.4,11.9,4.9,15.534090909090908,675.0,2014,bretagne,3276543.0,119.6551776431371,27383.21119519,133074000.0,0,2,40.614147288773566,41.2001212896229
2014-01-01,Centre-Val de Loire,7.968902439024391,154.25,1006.72,40.44444444444444,247.08333333333331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.06991150442478,4.213157894736842,10.14074074074074,512.2222222222222,2014,centre-val de loire,2577435.0,65.29864923314861,39471.49030292,111026000.0,0,2,43.076159049597756,43.47072252857265
2014-01-01,Grand Est,6.347008547008548,297.73191489361704,1010.4866666666666,160.96,348.0,0.0,0.0,0.0833333333333333,0.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833333333333333,0.0,9.37741935483871,2.095833333333333,8.183636363636364,359.8181818181818,2014,grand est,5554645.0,96.26931159277544,57699.02067542,232159000.0,0,2,41.795470277578495,43.10576726095889
2014-01-01,Hauts-de-France,5.713043478260869,92.51428571428572,1001.55,6.0,130.22222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.28181818181818,3.427777777777778,11.66060606060606,477.8888888888889,2014,hauts-de-france,6006156.0,187.64443013901052,32008.17629146,278465000.0,0,2,46.36326462382929,47.0005657386834
2014-01-01,Normandie,11.357317073170732,122.144578313253,998.54,0.7333333333333333,102.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.733898305084743,3.5357142857142856,13.248148148148148,540.0,2014,normandie,3335645.0,110.75048896731153,30118.55776984,158635000.0,0,2,47.55751886067012,46.53417427989093
2014-01-01,Nouvelle-Aquitaine,9.461333333333334,254.00333333333333,1009.295652173913,59.18181818181818,285.975,1.8210526315789477,0.8823529411764706,0.0,0.0833333333333333,0.0952380952380952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0909090909090909,11.490134529147983,4.954054054054055,9.19240506329114,497.55555555555554,2014,nouvelle-aquitaine,5879144.0,69.0825840391532,85103.12811501,254313000.0,0,2,43.256807453602086,43.35719697678682
2014-01-01,Occitanie,1.9934782608695647,577.7565632458234,1014.2857142857144,151.34615384615384,425.3103448275862,4.946428571428571,9.013574660633484,0.0909090909090909,0.4722222222222222,0.0,0.0,0.0,0.1,0.0,0.1,0.0769230769230769,0.0,0.05,0.0,9.923943661971832,1.4452380952380952,6.8424528301886784,130.28571428571428,2014,occitanie,5730753.0,78.06166422804614,73413.15428862,231318000.0,0,2,40.36432908554949,43.89260114080429
2014-01-01,Pays de la Loire,15.427906976744186,73.03488372093024,1002.5444444444444,0.75,107.29411764705884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.57846153846154,3.52,13.43793103448276,759.75,2014,pays de la loire,3690659.0,114.03792841666922,32363.43426474,156737000.0,0,2,42.46856726671307,42.674622151378315
